Operating Unit	Country	ISO3	Indicator	Description	Coarse Age	Sex	Modality	2018-T	2018Q1-R	2018Q2-R	2018Q3-R	2018Q4-R	2019-T	2019Q1-R	2019Q2-R	2019Q3-R	2019Q4-R	2020-T	2020Q1-R	2020Q2-R	2020Q3-R	2020Q4-R	2021-T	2021Q1-R	2021Q2-R	2021Q3-R	2021Q4-R	2022-T	2022Q1-R	2022Q2-R	2022Q3-R	2022Q4-R	2023-T	2023Q1-R	2023Q2-R	2023Q3-R	2023Q4-R	2024-T	2024Q1-R	2024Q2-R	2024Q3-R
Kenya	Kenya	KEN	TX_TB	ART patients who were started on TB treatment	<15	Unknown Sex	N/A	644		484		696			467		493			259		222			211		162			261		286			403		414			293	
Kenya	Kenya	KEN	VMMC_CIRC	Males circumcised as part of voluntary medical male circumcision for HIV prevention	Unknown Age	Male	N/A												69																						
Kenya	Kenya	KEN	VMMC_CIRC	Males circumcised as part of voluntary medical male circumcision for HIV prevention	<15	Unknown Sex	N/A	123,314	66,962	23,157	52,031	68,698	182,577	107,385	14,856	41,806	45,714	73,904	50,957	8,142	2,780	1,160		1			3		3		15			21					2		
Kenya	Kenya	KEN	VMMC_CIRC	Males circumcised as part of voluntary medical male circumcision for HIV prevention	15+	Male	N/A	177,430	23,203	11,990	28,917	29,416	118,373	27,041	11,059	15,122	17,008	125,370	9,680	7,525	10,013	30,593	54,051	19,632	11,073	12,227	11,588	54,173	8,054	27,055	9,279	10,954	54,150	28,461	11,741	11,638	5,742	54,150	34,553	5,499	16,084
Lesotho	Lesotho	LSO	AGYW_PREV	DREAMS beneficiaries that have completed any DREAMS service	15+	Female	N/A								8,616		15,599			9,014		12,406			16,021		53,124	24,494		3,848		24,483	21,607		12,175		20,676	13,834		4,790	
Lesotho	Lesotho	LSO	AGYW_PREV	DREAMS beneficiaries that have completed any DREAMS service	<15	Unknown Sex	N/A								709		13,676			6,535		6,784			2,039		6,370	10,412		2,441		18,506	18,107		10,938		18,251	14,107		7,062	
Lesotho	Lesotho	LSO	CXCA_SCRN	HIV-positive women on ART screened for cervical cancer	Unknown Age	Female	N/A																				3														
Lesotho	Lesotho	LSO	CXCA_SCRN	HIV-positive women on ART screened for cervical cancer	15+	Female	N/A					1,300			6,030		20,070	46,048		17,992		18,752	59,827		9,547		23,278	50,644		16,929		17,727	54,890		15,435		16,358	35,274		16,340	
Lesotho	Lesotho	LSO	CXCA_SCRN_POS	HIV-positive women on ART who screened positive for cervical cancer	15+	Female	N/A					51			565		1,444			1,206		1,135			519		801			466		505			524		406			825	
Lesotho	Lesotho	LSO	CXCA_TX	HIV-positive women on ART who screened positive for cervical cancer and received cervical cancer treatment	15+	Female	N/A					96			293		822			972		767			397		625			497		490			537		322			550	
Lesotho	Lesotho	LSO	GEND_GBV	People receiving post-gender based violence care	<15	Unknown Sex	N/A	272				19	559				256					251			185		173			148		144			183		126			176	
Lesotho	Lesotho	LSO	GEND_GBV	People receiving post-gender based violence care	15+	Female	N/A	2,206				88	2,310				1,053					718			475		560			523		424			509		387			607	
Lesotho	Lesotho	LSO	GEND_GBV	People receiving post-gender based violence care	Unknown Age	Male	N/A					1																													
Lesotho	Lesotho	LSO	GEND_GBV	People receiving post-gender based violence care	15+	Male	N/A	250				15	229				153					88			57		43			55		94			42		44			33	
Lesotho	Lesotho	LSO	GEND_GBV	People receiving post-gender based violence care	Unknown Age	Female	N/A					1																													
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Female	Active Index																															12,845			
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	Unknown Age	Male	IndexMod									8	2			1						1															
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Female	IndexMod							602	987	871	1,021	15,883	927	905			3,341		5	7	5	2,012	5	11	33	9	605	3	27	5	5		2	6	43
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	Unknown Age	Female	Index									3																									
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	Unknown Age	Female	IndexMod									10																									
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	<15	Unknown Sex	Index							1,877	5,335	4,030	609	16,416	1,751	2,004	877	1,169	8,130	1,310	1,224	1,356	1,175	5,840	3,880	4,783	4,553	5,242	4,680	3,439	3,540	3,043	2,940		2,405	2,644	2,772
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Male	IndexMod							819	1,163	1,251	1,246	10,015	1,032	993			2,833		42	57	46	4,524	61	135	90	19	387	33	84	48	32		7	41	50
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	Unknown Age	Male	Index									3																									
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Male	Active Index																															10,962			
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	<15	Unknown Sex	IndexMod							10	10	44	32	4,899	52	51			1,968			2	22	750		3			700		1				5	29	84
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Female	Index							1,043	4,172	6,724	9,911	17,220	7,583	6,512	5,136	4,168	16,964	4,587	3,590	4,144	4,354	7,488	3,164	3,795	3,995	4,187	3,858	3,065	3,108	2,498	2,011		1,852	2,038	1,815
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Male	Index							1,214	4,636	8,427	12,280	11,136	9,511	7,486	5,483	4,094	14,044	4,215	3,430	3,613	3,902	13,626	3,208	3,957	3,960	3,987	2,470	2,942	3,042	2,618	2,086		1,781	2,127	1,927
Lesotho	Lesotho	LSO	HTS_INDEX	Individuals tested for HIV using index testing services	<15	Unknown Sex	Active Index																															4,801			
Lesotho	Lesotho	LSO	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	<15	Unknown Sex	Index							142	544	611	129		282	243	259	207		191	134	147	185		145	178	115	120		96	69	59	111		51	74	72
Lesotho	Lesotho	LSO	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	Unknown Age	Female	Index									10																									
Lesotho	Lesotho	LSO	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	15+	Female	Index							711	3,103	5,358	7,564		5,695	4,463	3,561	2,456		2,787	1,622	1,926	2,140		1,584	2,157	2,238	2,302		1,615	1,377	1,290	952		892	885	842
Lesotho	Lesotho	LSO	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	Unknown Age	Male	Index									9	2			1						1															
Lesotho	Lesotho	LSO	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	15+	Male	Index							935	3,930	7,365	10,365		7,945	6,059	4,388	2,884		2,960	2,098	2,151	2,445		1,976	2,750	2,564	2,547		1,752	1,836	1,690	1,308		1,076	1,261	1,280
Lesotho	Lesotho	LSO	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	15+	Female	Index							758	1,678	1,788	2,351	26,460	1,863	1,995	1,225	1,392	15,095	1,402	1,561	1,807	1,807	7,286	1,211	1,172	1,236	1,268	2,694	917	994	621	532	10,805	475	559	531
Lesotho	Lesotho	LSO	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	Unknown Age	Female	Index									3																									
Lesotho	Lesotho	LSO	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	Unknown Age	Male	Index									2																									
Lesotho	Lesotho	LSO	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	15+	Male	Index							838	1,467	1,731	2,256	16,853	1,768	1,624	821	926	12,544	913	1,068	1,182	1,171	13,163	956	905	1,019	962	1,729	744	740	533	411	8,809	311	440	361
Lesotho	Lesotho	LSO	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	<15	Unknown Sex	Index							1,719	4,771	3,409	496	20,927	1,491	1,774	602	953	9,795	1,095	1,073	1,188	991	6,457	914	892	839	851	5,132	780	966	785	793	4,661	671	720	1,005
Lesotho	Lesotho	LSO	HTS_INDEX_NEWPOS	Individuals newly testing positive by index testing services	<15	Unknown Sex	Index							26	30	54	16	388	30	38	16	9	303	24	17	23	21	133	23	24	25	22	248	14	19	13	13	140	10	23	16
Lesotho	Lesotho	LSO	HTS_INDEX_NEWPOS	Individuals newly testing positive by index testing services	15+	Male	Index							260	402	582	905	4,298	830	796	274	284	4,333	342	306	337	332	4,987	337	437	467	497	1,128	479	550	443	399	2,153	401	467	336
Lesotho	Lesotho	LSO	HTS_INDEX_NEWPOS	Individuals newly testing positive by index testing services	15+	Female	Index							176	378	449	1,017	6,643	952	959	350	320	5,210	398	412	418	412	2,214	374	477	554	626	1,769	536	764	592	532	2,040	487	600	485
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	VCTMod																																		2
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	Other PITC												220	280	23		1,664					621	77	171	486	650	1,954	744	845	828	954		839	1,309	892
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Male	VMMC																92					61													
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	PMTCT Post ANC1 Pregnant/L&D																																3	6	10
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	SNSMod																										72				1		6		
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Male	IndexMod																822					995					127				5		1	13	19
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Male	Index																3,511					3,992					768								
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	MobileMod																										246			11	1		2	17	3
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	PMTCT Post ANC1 Breastfeeding																																		7
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Male	OtherMod																4										38						1	16	26
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Male	TBClinic																1,099					825			18	28	521	19	9	13	15		4	12	13
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Male	Inpat																69								4	2	23	12	2	13	4		8	6	12
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	IndexMod																969					442					191			2	7		6	7	19
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	TBClinic																624					395			10	27	266	16	4	10	7		6	8	7
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Male	MobileMod																										191			5	9		4	9	12
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	OtherMod																231										7							35	41
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	Inpat																80								9	5	22	9	3	13	7		8	8	27
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Male	SNS																										62								
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	Index																4,241					1,772					1,196								4
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Male	SNSMod																										42								
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	Post ANC1																29					154			3	6	44	11	7	2	6				
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	PMTCT ANC																1,928					495			80	107	592	96	119	135	111		109	183	140
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Male	Other PITC												146	141	12		1,174					1,171	42	100	288	452	1,255	728	535	522	601		594	816	613
Lesotho	Lesotho	LSO	HTS_RECENT	Newly diagnosed HIV-positive persons who received a recent infection test result	15+	Female	SNS																										108								
Lesotho	Lesotho	LSO	HTS_SELF	Individual HIV self-test kits distributed	<15	Unknown Sex	N/A		14	99		15	2,852	11	3	2	19	3,115	18	425	515	1,100	2,321	2,873	2,098	2,586	1,827	6,732	2,575	1,566	1,515	2,116	7,243	1,357	1,452	1,760	2,078	8,330	1,799	2,169	2,596
Lesotho	Lesotho	LSO	HTS_SELF	Individual HIV self-test kits distributed	Unknown Age	Unknown Sex	N/A											59,180								372			15										27	215	
Lesotho	Lesotho	LSO	HTS_SELF	Individual HIV self-test kits distributed	Unknown Age	Male	N/A						11																												
Lesotho	Lesotho	LSO	HTS_SELF	Individual HIV self-test kits distributed	15+	Male	N/A		417	6,889	2,817	15,142	88,752	8,849	8,831	8,278	15,133	77,159	22,676	31,687	13,780	37,661	73,819	47,552	35,772	45,383	36,165	97,746	31,054	22,302	31,588	62,027	105,244	20,652	23,340	29,565	28,845	151,553	23,930	32,606	35,695
Lesotho	Lesotho	LSO	HTS_SELF	Individual HIV self-test kits distributed	Unknown Age	Female	N/A						29																												
Lesotho	Lesotho	LSO	HTS_SELF	Individual HIV self-test kits distributed	15+	Female	N/A		394	6,246	1,940	4,614	110,243	7,234	6,829	5,977	12,938	88,998	19,256	31,911	22,180	48,077	86,351	51,144	46,241	58,133	57,030	149,552	50,885	42,099	52,342	70,094	162,193	40,906	46,327	50,148	49,359	233,856	40,842	53,148	51,731
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	VMMC	19,198	844	1,008	1,687	1,716	21,732	1,084	1,304	1,858	2,198	6,015	1,265	1,430	138	9	2,801	1,009	911	1,383	1,532	11,808	469	1,009	1,514	1,801	9,389	1,122	1,010	1,457	333	8,815	1,102	1,363	1,771
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	TBClinic	13,000	329	234	151	229	4,622	123	154	140	166	1,506	137	135	74	88	1,663	112	103	110	129	1,233	128	128	122	184	1,441	157	145	127	191	1,784	182	168	184
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	MobileMod	82,389	30,696	17,773	15,014	15,351	17,791	12,584	11,188	10,425	11,339	16,299	8,452	8,271	233	345		1,023	1,675	826	708		585	705	633	149	9,245	1,346	3,099	3,887	2,923		1,088	1,420	1,281
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	PMTCT ANC		28	50	19	27	342	16	23	37	28	178	28	24	12	24		43	28	22	38	124	30	29	18	29	121	22	19	30	27		22	34	22
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	PMTCT Post ANC1 Pregnant/L&D																																25	3	4
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	MobileMod	128,534	25,013	14,721	12,364	12,340	23,007	9,615	9,220	8,757	9,828	32,378	6,619	7,610	246	702		479	1,130	740	439		158	576	690	156	12,125	518	927	1,244	1,368		342	889	936
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Other Facility																															9,073			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Other PITC	238,307	70,677	84,689	85,417	94,567	275,824	91,082	103,860	91,769	96,229	55,730	86,153	75,908	31,427	22,692	16,640	25,336	20,835	21,321	18,778	6,176	14,247	11,879	7,840	6,534	28,454	7,337	8,110	7,744	8,442		9,048	9,075	9,035
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	PrEP CT																															27,272			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	IndexMod	37,280	218	332	782	1,016	16,887	819	939	1,101	1,038	10,015	847	778			2,833		39	42	36	4,524	51	117	68	9	387	28	64	42	26		6	36	28
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Active SNS																															86			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	VMMC		365	832	1,180	1,037	14,487	651	1,191	1,292	984	6,137	637	116	4	5																			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	SNSMod																							53	80		1,982			206	159		81	268	88
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Active Other																															9			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	VCTMod	26,881	1,834	1,000	807	689	3,855	826	733	601	585					10												7	4	1			130	350	259
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	OtherMod	12,874	5,027	563	1,155	3,315	5,980	3,226	4,441	4,946	3,959	8,714	2,903	4,654	1,120	114	18,881	1,915	1,217	1,227	1,201		718	1,221	2,185	2,279	800	3,101	4,016	4,416	2,393		3,472	3,630	3,623
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	VCTMod		177	20	5	2	230	1	2	1	2																								
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	OtherMod								2																				1						
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	OtherMod	8,250	4,739	581	599	3,555	18,591	3,507	4,224	5,923	3,806	2,436	1,869	2,077	392	48	198	579	577	653	404		217	692	1,515	2,060	4,200	1,938	1,809	106	377		1,224	1,276	1,241
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	Index									2																									
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	IndexMod	58,139	258	316	662	825	29,409	602	732	683	727	15,883	661	638			3,341		5	5	2	2,012	1	6	20	5	605	3	14	5	5		1	3	27
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	SNS																										1,380								
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	STI Clinic																			13															
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	SNS																										2,580								
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	PrEP CT																															13,434			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Other PITC	99,685	27,016	29,793	36,424	34,105	134,637	43,833	38,144	35,106	33,707	37,887	28,982	20,454	4,300	2,849	600	4,226	2,827	2,620	2,119	600	2,106	2,115	1,896	2,021	26,139	1,973	2,144	1,766	1,840		1,802	1,880	2,256
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	TBClinic	8,157	253	169	149	194	4,203	303	282	271	362	3,764	293	279	154	192	3,550	263	224	202	313	2,829	280	329	319	340	2,550	393	364	313	521	3,698	456	407	599
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	STI Clinic																			3															
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Index	23,848	4,297	5,219	7,079	8,022	12,589	1,735	4,791	3,434	490	16,416	1,472	1,763	618	962	8,130	1,119	1,090	1,210	991	5,840	937	913	864	873	4,680	794	985	798	806		676	722	961
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Other Facility																															16,166			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Inpat	2,880	102	98	90	86	1,533	105	126	135	93	201	109	276	58	39	34	34	83	80	70		69	77	21	39	10	43	56	39	37		16	45	37
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	Other PITC								14																3	2									
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Post ANC1							23	20	11	11		21	6	4	3		18	11	17	11	124	3	14	13	23	121	33	39	10	10				
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	VCT												3																						
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Active Index																															10,962			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	Inpat																																		2
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Active SNS																															94			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Index	63,723	1,717	2,409	2,842	3,133	17,266	332	1,324	1,554	2,641	17,220	2,154	2,316	1,575	1,712	16,964	1,800	1,968	2,220	2,217	7,488	1,584	1,643	1,770	1,889	3,858	1,450	1,744	1,208	1,059		961	1,156	989
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Other PITC	150,112	28,303	31,635	32,424	37,700	149,617	40,013	41,370	38,006	43,528	39,271	39,578	30,966	9,510	5,225	11,740	6,280	4,359	4,608	3,341	11,275	3,348	4,056	3,261	3,367	14,609	3,666	4,343	3,722	4,275		4,324	4,555	4,352
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	PMTCT Post ANC1 Breastfeeding																																603	596	390
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Inpat	12,669	436	368	323	364	1,687	420	408	482	390	2,125	296	917	206	368	939	181	237	291	291		283	190	138	159	260	122	96	88	117		65	82	95
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	IndexMod	9,808	1,234	373	85	14	7,135	10	10	29	22	4,899	49	49			1,968			1	21	750		3			700						5	21	60
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Inpat	7,978	232	240	201	231	682	240	294	266	290	1,431	247	403	130	194	606	146	112	154	183		163	120	68	102	270	65	85	49	107		50	44	46
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	PMTCT Post ANC1 Breastfeeding																																6	3	2
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Post ANC1							2,708	2,604	2,545	2,863		2,142	1,649	1,270	2,194	2,071	2,403	2,118	2,124	1,819	24,869	1,880	2,064	4,285	5,500	24,397	4,465	5,447	4,278	3,730	25,178			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Active Other																															3,989			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Other Facility																															16,886			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	VCT												3																						
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	SNSMod																							13			3,050			57	136		56	65	
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	OtherMod	4,887	4,564	109	1	27	924	14	12	14	5	1,599	18	4			42,525				1												3	5	56
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	VCT												1																						
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Active Index																															12,845			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	Other PITC								6												4														
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	TBClinic	2,339	18	19	18	33	421	10	7	16	16	120	18	29	10	11	35	7	17	31	19	422	29	48	40	30	268	36	58	45	39	547	51	31	40
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	OtherMod								1																										
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	PMTCT ANC	30,721	3,314	4,546	5,127	6,350	38,643	5,629	7,406	6,767	7,148	33,005	5,703	7,606	7,310	6,857	29,588	6,429	7,599	6,908	6,884	25,364	5,417	6,596	6,004	5,958	25,155	5,058	6,306	5,695	5,492	25,752	4,450	5,915	5,354
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Pediatric	11,262																								45			81	135	235		311	250	215
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	PMTCT Post ANC1 Pregnant/L&D																																2,389	2,389	2,486
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Index	39,770	864	1,328	1,505	1,614	13,069	279	930	1,212	2,123	11,136	1,751	1,642	1,095	1,210	14,044	1,255	1,335	1,477	1,467	13,626	1,242	1,225	1,418	1,450	2,470	1,195	1,226	934	784		706	871	669
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	MobileMod		5,584	651	114	77	7,473	25	29	23	19	2,603	8	8										1	4					1					
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Active Index																															4,801			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Active Other																															1,907			
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	VCTMod	41,861	2,147	1,288	1,424	1,056	3,228	1,170	1,162	1,026	1,170																	35						45	88
Lesotho	Lesotho	LSO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	Index									3																									
Lesotho	Lesotho	LSO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	Inpat	703	24	35	30	21	100	25	33	23	18	110	14	19	16	12	69	14	6	18	13		21	11	16	11	27	15	5	5	11		8	10	11
Lesotho	Lesotho	LSO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	SNSMod																							8	5		48			27	14		6	4	2
Lesotho	Lesotho	LSO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	Other PITC	18,120	2,096	2,218	1,801	1,926	8,907	2,031	1,918	1,447	1,246	3,212	1,176	1,053	584	496	1,174	752	696	663	586	1,171	584	565	407	429	1,604	469	482	340	377		415	489	411
Lesotho	Lesotho	LSO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	SNS																										69								
Lesotho	Lesotho	LSO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	IndexMod	3,734	31	23	102	121	2,961	202	225	275	284	2,021	247	251			822		1	4	7	995	8	25	11	2	149	5	16	6	2		2	8	5
Lesotho	Lesotho	LSO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	TBClinic	1,688	68	36	26	41	2,419	60	72	83	77	659	74	67	37	33	624	41	45	46	56	395	52	54	54	54	333	52	34	38	54	408	51	37	27
Lesotho	Lesotho	LSO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Male	VMMC	1,020	31	34	59	49	436	34	31	32	28	38	13	22	6		92	7	6	11	13	61	8	22	15	11	44	1	9	9	1	54	39	4	29
Lesotho	Lesotho	LSO	HTS_TST_POS	Individuals newly tested positive for HIV	<15	Unknown Sex	Pediatric	352																													3		1	1	1
Lesotho	Lesotho	LSO	HTS_TST_POS	Individuals newly tested positive for HIV	15+	Female	SNSMod																							4			84			1	6		9	7	
